"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
0.000,1.916,,
0.050,3.324,1.13,
0.100,2.030,-4.26,-60.3
0.150,2.003,-4.90,5.6
0.200,1.960,-0.72,25.9
0.250,1.924,-0.71,14.3
0.300,1.891,-0.67,0.5
0.350,1.858,-0.65,0.5
0.400,1.825,-0.63,0.4
0.450,1.795,-0.61,0.4
0.500,1.764,-0.59,0.4
0.550,1.735,-0.58,0.4
0.600,1.707,-0.56,0.4
0.650,1.680,-0.54,0.4
0.700,1.653,-0.52,0.4
0.750,1.628,-0.50,0.4
0.800,1.603,-0.48,0.4
0.850,1.579,-0.46,0.4
0.900,1.557,-0.45,0.4
0.950,1.535,-0.43,0.4
1.000,1.514,-0.41,0.4
1.050,1.494,-0.39,0.4
1.100,1.475,-0.37,0.4
1.150,1.457,-0.36,0.4
1.200,1.439,-0.34,0.4
1.250,1.423,-0.32,0.4
1.300,1.408,-0.30,0.4
1.350,1.393,-0.28,0.4
1.400,1.380,-0.26,0.4
1.450,1.367,-0.24,0.4
1.500,1.355,-0.23,0.4
1.550,1.344,-0.21,0.4
1.600,1.334,-0.19,0.4
1.650,1.325,-0.17,0.4
1.700,1.317,-0.15,0.4
1.750,1.310,-0.13,0.4
1.800,1.304,-0.12,0.4
1.850,1.299,-0.10,0.4
1.900,1.294,-0.08,0.4
1.950,1.291,-0.06,0.4
2.000,1.288,-0.04,0.4
2.050,1.287,-0.02,0.4
2.100,1.286,-0.01,0.4
2.150,1.286,0.01,0.4
2.200,1.287,0.03,0.4
2.250,1.290,0.05,0.4
2.300,1.293,0.07,0.4
2.350,1.297,0.09,0.4
2.400,1.301,0.11,0.4
2.450,1.307,0.12,0.4
2.500,1.314,0.14,0.4
2.550,1.321,0.16,0.4
2.600,1.330,0.18,0.4
2.650,1.340,0.20,0.4
2.700,1.350,0.22,0.4
2.750,1.362,0.24,0.4
2.800,1.374,0.26,0.4
2.850,1.387,0.28,0.4
2.900,1.402,0.29,0.4
2.950,1.417,0.31,0.4
3.000,1.433,0.33,0.4
3.050,1.450,0.35,0.4
3.100,1.468,0.37,0.4
3.150,1.487,0.39,0.4
3.200,1.507,0.41,0.4
3.250,1.528,0.43,0.4
3.300,1.550,0.45,0.4
3.350,1.573,0.47,0.4
3.400,1.597,0.49,0.4
3.450,1.622,0.51,0.4
3.500,1.648,0.52,0.4
3.550,1.674,0.54,0.4
3.600,1.702,0.56,0.3
3.650,1.731,0.58,0.3
3.700,1.760,0.59,0.3
3.750,1.790,0.61,
3.800,1.821,0.63,
3.850,1.852,,
