"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
0.000,2.023,,
0.050,2.012,-0.22,
0.100,2.001,-0.22,0.0
0.150,1.990,-0.22,0.0
0.200,1.979,-0.22,0.0
0.250,1.968,-0.22,0.0
0.300,1.956,-0.22,0.0
0.350,1.946,-0.22,0.0
0.400,1.934,-0.22,0.0
0.450,1.923,-0.22,0.0
0.500,1.912,-0.22,0.0
0.550,1.901,-0.22,0.0
0.600,1.890,-0.23,0.0
0.650,1.878,-0.23,0.0
0.700,1.867,-0.23,0.0
0.750,1.856,-0.23,0.0
0.800,1.844,-0.22,0.0
0.850,1.833,-0.22,0.0
0.900,1.822,-0.23,0.0
0.950,1.811,-0.23,0.0
1.000,1.799,-0.23,0.0
1.050,1.788,-0.23,0.0
1.100,1.776,-0.23,0.0
1.150,1.765,-0.23,0.0
1.200,1.754,-0.23,0.0
1.250,1.743,-0.23,0.0
1.300,1.731,-0.23,0.0
1.350,1.720,-0.23,0.0
1.400,1.709,-0.23,-7.5E-4
1.450,1.697,-0.23,0.0
1.500,1.686,-0.23,0.0
1.550,1.674,-0.23,0.0
1.600,1.663,-0.23,0.0
1.650,1.652,-0.23,0.0
1.700,1.640,-0.23,0.0
1.750,1.629,-0.23,0.0
1.800,1.618,-0.23,0.0
1.850,1.606,-0.23,0.0
1.900,1.595,-0.23,0.0
1.950,1.583,-0.23,0.0
2.000,1.572,-0.23,0.0
2.050,1.561,-0.23,0.0
2.100,1.549,-0.23,-5.2E-4
2.150,1.538,-0.23,0.0
2.200,1.526,-0.23,0.0
2.250,1.515,-0.23,0.0
2.300,1.503,-0.23,3.4E-4
2.350,1.492,-0.23,0.0
2.400,1.481,-0.23,0.0
2.450,1.469,-0.23,0.0
2.500,1.458,-0.23,0.0
2.550,1.446,-0.23,0.0
2.600,1.435,-0.23,0.0
2.650,1.423,-0.23,0.0
2.700,1.412,-0.23,-1.6E-4
2.750,1.401,-0.23,0.0
2.800,1.389,-0.23,0.0
2.850,1.377,-0.23,0.0
2.900,1.366,-0.23,0.0
2.950,1.354,-0.23,0.0
3.000,1.343,-0.23,0.0
3.050,1.331,-0.23,0.0
3.100,1.320,-0.23,0.0
3.150,1.309,-0.23,0.0
3.200,1.297,-0.23,0.0
3.250,1.284,-0.23,0.1
3.300,1.274,-0.22,0.0
3.350,1.263,-0.23,0.0
3.400,1.251,-0.23,0.0
3.450,1.239,-0.23,0.0
3.500,1.228,-0.23,0.0
3.550,1.216,-0.23,0.0
3.600,1.205,-0.23,1.3E-4
3.650,1.194,-0.23,0.0
3.700,1.182,-0.23,0.0
3.750,1.171,-0.23,-3.9E-4
3.800,1.159,-0.23,0.0
3.850,1.148,-0.23,0.0
3.900,1.136,-0.23,0.0
3.950,1.125,-0.23,0.0
4.000,1.113,-0.23,1.3E-4
4.050,1.102,-0.23,0.0
4.100,1.091,-0.23,0.0
4.150,1.079,-0.23,0.0
4.200,1.068,-0.23,0.0
4.250,1.056,-0.23,0.0
4.300,1.045,-0.23,0.0
4.350,1.033,-0.23,-1.3E-5
4.400,1.021,-0.23,4.5E-4
4.450,1.010,-0.23,0.0
4.500,0.998,-0.23,0.0
4.550,0.987,-0.23,0.0
4.600,0.975,-0.23,0.0
4.650,0.964,-0.23,0.0
4.700,0.952,-0.23,0.0
4.750,0.940,-0.23,0.0
4.800,0.929,-0.23,0.0
4.850,0.917,-0.23,0.0
4.900,0.905,-0.23,0.0
4.950,0.894,-0.24,0.0
5.000,0.882,-0.24,0.0
5.050,0.870,-0.24,0.0
5.100,0.858,-0.24,0.0
5.150,0.846,-0.24,0.0
5.200,0.834,-0.24,0.0
5.250,0.823,-0.24,0.0
5.300,0.811,-0.24,0.0
5.350,0.799,-0.24,0.0
5.400,0.787,-0.24,0.0
5.450,0.775,-0.24,0.0
5.500,0.763,-0.24,0.0
5.550,0.751,-0.24,-4.2E-8
5.600,0.739,-0.24,8.5E-5
5.650,0.728,-0.24,0.0
5.700,0.715,-0.24,-1.5E-4
5.750,0.704,-0.24,0.0
5.800,0.692,-0.24,0.0
5.850,0.680,-0.24,0.0
5.900,0.668,-0.24,0.0
5.950,0.656,-0.24,0.0
6.000,0.644,-0.24,0.0
6.050,0.633,-0.24,0.0
6.100,0.621,-0.24,0.0
6.150,0.609,-0.24,0.0
6.200,0.597,-0.24,0.0
6.250,0.585,-0.24,0.0
6.300,0.574,-0.23,0.0
6.350,0.562,-0.23,0.0
6.400,0.550,-0.23,0.0
6.450,0.539,-0.23,0.0
6.500,0.527,-0.23,0.0
6.550,0.516,-0.23,0.0
6.600,0.504,-0.23,0.0
6.650,0.493,-0.23,0.0
6.700,0.482,-0.22,0.0
6.750,0.471,-0.22,0.0
6.800,0.460,-0.22,0.0
6.850,0.449,-0.22,0.0
6.900,0.438,-0.22,0.0
6.950,0.427,-0.22,0.0
7.000,0.416,-0.22,0.0
7.050,0.406,-0.21,0.0
7.100,0.394,-0.21,0.0
7.150,0.384,-0.21,0.0
7.200,0.374,-0.21,0.0
7.250,0.363,-0.21,
7.300,0.353,-0.21,
7.350,0.343,,
